access_right;communities;conference_acronym;conference_dates;conference_place;conference_title;conference_url;contributors;creators;description;doi;keywords;license;prereserve_doi;publication_date;related_identifiers;title;upload_type;conceptdoi;files
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Lehrstuhl für Medieninformatik, Universität Regensburg, Germany', 'name': 'Achmann, Michael', 'orcid': '0000-0002-4754-7842'}, {'affiliation': 'Lehrstuhl für Medieninformatik, Universität Regensburg, Germany', 'name': 'Hampel, Lisa'}, {'affiliation': 'Lehrstuhl für Medieninformatik, Universität Regensburg, Germany', 'name': 'Asabidi, Ruslan'}, {'affiliation': 'Lehrstuhl für Medieninformatik, Universität Regensburg, Germany', 'name': 'Wolff, Christian'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322438;['social media', 'instagram stories', 'Bundestagswahl', 'Sammlung', 'Inhaltsanalyse', 'Strukturanalyse', 'Annotieren', 'Personen', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322438', 'recid': 6322438};2022-03-07;[{'identifier': '10.5281/zenodo.6327901', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Studying the ephemeral, cultures of digital oblivion - Identifying patterns in Instagram Stories.;poster;10.5281/zenodo.6322437;['DHd2022_001_Achmann_Studying the ephemeral, cultures of digital oblivion_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Bayerische Staatsbibliothek, Germany', 'name': 'Adamczak, Katarzyna'}, {'affiliation': 'Bayerische Staatsbibliothek, Germany', 'name': 'Štanzel, Arnošt'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322444;['Ego-Dokumente', 'Erlebnisbericht', 'Osteuropaforschung', 'Südosteuropaforschung', 'Digitalisierung', 'Katalogisierung', 'Langzeitarchivierung', 'Umwandlung', 'Archivierung', 'Veröffentlichung', 'Manuskript', 'Metadaten', 'Forschung', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322444', 'recid': 6322444};2022-03-07;[{'identifier': '10.5281/zenodo.6327903', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Digitalisierte Ego-Dokumente als Quellen für die historische Forschung;poster;10.5281/zenodo.6322443;['DHd2022_002_Adamczak_Digitalisierte Ego-Dokumente als Quellen für die historische Forschung_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Spotlight on Innovation (SPOTIN) NPCC, Greece', 'name': 'Baglatzi, Alkyoni'}, {'affiliation': 'Xorostasi NPCC, Greece', 'name': 'Velissaropoulos, Georgios'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322446;['maps', 'ontologies', 'linked open data', 'intangible cultural heritage', 'open data', 'Teilen', 'Räumliche Analyse', 'Webentwicklung', 'Karte', 'Methoden', 'Projekte', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322446', 'recid': 6322446};2022-03-07;[{'identifier': '10.5281/zenodo.6327921', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Ontological modelling of the Greek Intangible Cultural Heritage for complex geo-semantic querying;poster;10.5281/zenodo.6322445;['DHd2022_005_Baglatzi_Ontological modelling of the Greek Intangible Cultural Heritage_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Universität Graz, Austria', 'name': 'Bauer, Bernhard'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322448;['Digitale Edition', 'Glossen', 'Frühmittelalter', 'Transkription', 'Beziehungsanalyse', 'Annotieren', 'Manuskript', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322448', 'recid': 6322448};2022-03-07;[{'identifier': '10.5281/zenodo.6327923', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];"Projektpräsentation ""Early Medieval Glosses And The Question Of Their Genesis: A Case Study On The Vienna Bede"" (Gloss-ViBe)";poster;10.5281/zenodo.6322447;['DHd2022_006_Bauer_Projektpräsentation_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Ruhr-Universität Bochum, Deutschland', 'name': 'Berg, Mia'}, {'affiliation': 'Universität Hamburg, Deutschland', 'name': 'Lorenz, Andrea'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322450;['Social Media', 'Digital History', 'Erinnerungskultur', 'Sammlung', 'Archivierung', 'Kollaboration', 'Methoden', 'Projekte', 'Forschung', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322450', 'recid': 6322450};2022-03-07;[{'identifier': '10.5281/zenodo.6327925', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Doing (Digital) History - Kollaborative Formen der Erforschung von Geschichte in sozialen Medien im Projekt #SocialMediaHistory;poster;10.5281/zenodo.6322449;['DHd2022_007_Berg_Doing (Digital) History_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Institut für Architektur von Anwendungssystemen (IAAS) - Universität Stuttgart', 'name': 'Bühler, Fabian', 'orcid': '0000-0003-2834-4342'}, {'affiliation': 'Institut für Architektur von Anwendungssystemen (IAAS) - Universität Stuttgart', 'name': 'Barzen, Johanna', 'orcid': '0000-0001-8397-7973'}, {'affiliation': 'Institut für Architektur von Anwendungssystemen (IAAS) - Universität Stuttgart', 'name': 'Leymann, Frank', 'orcid': '0000-0002-9123-259X'}, {'affiliation': 'Institut für Informatik und digitale Bildung - Pädagogischen Hochschule Karlsruhe', 'name': 'Standl, Bernhard', 'orcid': '0000-0002-8849-2980'}, {'affiliation': 'Institut für Informatik und digitale Bildung - Pädagogischen Hochschule Karlsruhe', 'name': 'Schlomske-Bodenstein, Nadine'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322454;['Datenmanagement', 'Forschungswerkzeug', 'Datenrepositorium', 'Sammlung', 'Organisation', 'Artefakte', 'Werkzeuge', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322454', 'recid': 6322454};2022-03-07;[{'identifier': '10.5281/zenodo.6327945', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];MUSE4Anything - Ontologiebasierte Generierung von Werkzeugen zur strukturierten Erfassung von Daten;poster;10.5281/zenodo.6322453;['DHd2022_009_Bühler_MUSE4Anything_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Ludwig Forum für Internationale Kunst, Germany', 'name': 'Bönisch, Dominik', 'orcid': '0000-0003-4336-0180'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322456;['Künstliche Intelligenz', 'Museum', 'kuratorische Praxis', 'Entdeckung', 'Sammlung', 'Beziehungsanalyse', 'Kollaboration', 'Bilder', 'Visualisierung', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322456', 'recid': 6322456};2022-03-07;[{'identifier': '10.5281/zenodo.6327949', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Training the Archive - Von der maschinellen Exploration musealer Sammlungsdaten zur Curator's Machine;poster;10.5281/zenodo.6322455;['DHd2022_010_Bönisch_Training the Archive - Von der maschinellen Exploration musealer Sammlungsdaten_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Universität Potsdam', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541'}, {'affiliation': 'Österreichische Akademie der Wissenschaften, Austrian Centre for Digital Humanities and Cultural Heritage (ACDH-CH)', 'name': 'Charvat, Vera Maria'}, {'affiliation': 'Österreichische Akademie der Wissenschaften, Austrian Centre for Digital Humanities and Cultural Heritage (ACDH-CH)', 'name': 'Ďurčo, Matej', 'orcid': '0000-0002-5274-8278'}, {'affiliation': 'Humboldt-Universität zu Berlin', 'name': 'Mrugalski, Michał'}, {'affiliation': 'Humboldt-Universität zu Berlin', 'name': 'Odebrecht, Carolin', 'orcid': '0000-0003-4887-7701'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322462;['Computational Literary Studies', 'Metadaten', 'Linked Open Data', 'Data Landscape', 'Research Discovery', 'FAIR principles', 'Modellierung', 'Community-Bildung', 'Organisation', 'Infrastruktur', 'Metadaten', 'Forschungsergebnis', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322462', 'recid': 6322462};2022-03-07;[{'identifier': '10.5281/zenodo.6327953', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Computational Literary Studies Data Landscape Review;poster;10.5281/zenodo.6322461;['DHd2022_011_Börner_Computational Literary Studies Data Landscape Review_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Universität zu Köln, Deutschland', 'name': 'Bigalke, Jan'}, {'affiliation': 'Universität zu Köln, Deutschland', 'name': 'Drach, Sviatoslav'}, {'affiliation': 'Universität zu Köln, Deutschland', 'name': 'Neuefeind, Claes'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322464;['Rechnungsbücher', 'Layoutanalyse', 'HTR', 'Datenerkennung', 'Transkription', 'Manuskript', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322464', 'recid': 6322464};2022-03-07;[{'identifier': '10.5281/zenodo.6327963', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Semi-automatische Erschließung von Rechnungsbüchern am Beispiel des Stadtarchivs Leuven;poster;10.5281/zenodo.6322463;['DHd2022_012_Bigalke_Semi-automatische Erschließung von Rechnungsbüchern am Beispiel des Stadtarchivs Leuven_b.pdf']
open;[{'identifier': 'dhd'}, {'identifier': 'zenodo'}];DHd 2022;07.03.2022-11.03.2022;Potsdam;"DHd 2022 Kulturen des digitalen Gedächtnisses. 8. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""";https://www.dhd2022.de/;[{'affiliation': 'Universität der Bundeswehr München, Deutschland', 'name': 'Geierhos, Michaela', 'orcid': '0000-0002-8180-5606', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Trilcke, Peer', 'orcid': '0000-0002-1421-4320', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Börner, Ingo', 'orcid': '0000-0001-8294-2541', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Seifert, Sabine', 'orcid': '0000-0001-9847-8245', 'type': 'Editor'}, {'affiliation': 'Universität Potsdam, Deutschland', 'name': 'Busch, Anna', 'orcid': '0000-0001-5584-4807', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V., Deutschland', 'name': 'Helling, Patrick', 'orcid': '0000-0003-4043-165X', 'type': 'Editor'}];[{'affiliation': 'Universität Trier, Germany', 'name': 'Du, Keli', 'orcid': '0000-0001-7800-0682'}, {'affiliation': 'Universität Trier, Germany', 'name': 'Dudar, Julia', 'orcid': '0000-0001-5545-9562'}, {'affiliation': 'Universität Trier, Germany', 'name': 'Rok, Cora'}, {'affiliation': 'Universität Trier, Germany', 'name': 'Schöch, Christof', 'orcid': '0000-0002-4557-2753'}];"Eine Posterpr&auml;sentation auf der 8. Tagung des Verbands &quot;Digital Humanities im deutschsprachigen Raum&quot; - DHd 2022 Kulturen des digitalen Ged&auml;chtnisses.";10.5281/zenodo.6322466;['Computational Literary Studies', 'Distinktivitätsmaße', 'Python-Implementierung', 'pydistinto', 'Entdeckung', 'Programmierung', 'Stilistische Analyse', 'Methoden', 'Software', 'Text', 'DHd2022'];CC-BY-4.0;{'doi': '10.5281/zenodo.6322466', 'recid': 6322466};2022-03-07;[{'identifier': '10.5281/zenodo.6327967', 'relation': 'isSupplementTo', 'resource_type': 'publication-conferencepaper', 'scheme': 'doi'}];Kontrastive Textanalyse mit pydistinto - Ein Python-Paket zur Nutzung unterschiedlicher Distinktivitätsmaße;poster;10.5281/zenodo.6322465;['DHd2022_013_Du_Kontrastive Textanalyse mit pydistinto_b.pdf']
